pH,Electrical_Conductivity,Organic_Carbon,Available_Nitrogen,Available_Phosphorus,Available_Potassium,Exchangeable_Calcium,Exchangeable_Magnesium,Available_Sulfur,Iron,Manganese,Zinc,Copper,Soil_Depth,Soil_Type,Fit_for_Betel_Vine
7.23,0.19,1.12,388,11,233,1.73,2.03,10,5.72,7.84,1.22,0.51,Subsurface,Sandy,Yes
6.62,0.65,1.16,381,31,238,3.08,1.92,19,12.1,7.42,0.87,0.45,Subsurface,Loamy,Yes
7.11,0.71,0.81,296,23,283,2.59,2.24,5,17.35,9.65,1.62,0.32,Surface,Sandy,Yes
7.11,0.68,0.96,365,36,272,4.36,0.59,19,8.04,9.73,1.22,0.47,Subsurface,Loamy,No
6.6,0.88,0.77,343,27,271,2.95,1.71,6,24.87,6.57,0.99,0.93,Surface,Loamy,Yes
7.02,0.54,0.75,349,19,185,1.87,0.88,17,10.49,8.02,1.15,0.98,Surface,Loamy,No
6.67,0.22,0.8,269,38,184,2.05,2.45,8,5.45,5.09,1.06,0.32,Surface,Loamy,No
7.71,0.36,1.02,265,30,281,3.86,1.32,17,5.56,5.43,1.97,0.73,Surface,Sandy,No
7.92,0.7,0.85,385,10,268,4.83,1.75,16,18.33,2.83,0.84,0.97,Surface,Loamy,Yes
6.61,0.65,1.07,398,12,271,4.54,1.2,12,18.4,7.39,1.12,0.37,Subsurface,Mixed,Yes
7.93,0.58,1.02,313,29,180,1.95,0.94,7,23.05,4.16,0.96,0.87,Surface,Loamy,No
7.28,0.71,0.51,353,13,193,1.56,1.88,19,6.82,2.64,0.76,0.44,Subsurface,Clayey,Yes
6.95,0.67,0.94,382,27,262,1.59,2.38,12,12.53,2.79,0.95,0.53,Subsurface,Clayey,Yes
6.62,0.89,0.81,287,17,210,3.44,0.62,11,22.79,7.78,1.23,0.93,Surface,Loamy,No
7.25,0.63,0.82,268,31,230,3.2,2.15,16,20.95,3.83,1.45,0.25,Subsurface,Sandy,No
7.69,0.8,1.07,323,18,258,1.55,1.18,10,9.67,8.16,1.43,0.56,Subsurface,Mixed,Yes
7.56,0.32,0.88,390,31,198,1.7,0.74,14,22.8,9.25,1.66,0.6,Surface,Sandy,No
6.58,0.71,1.12,386,28,281,5.0,1.93,5,18.62,4.73,0.61,0.92,Surface,Mixed,Yes
6.61,0.91,1.0,266,37,211,4.88,0.66,19,10.29,8.35,0.97,0.66,Surface,Sandy,No
7.1,0.45,0.89,344,11,236,1.94,1.96,10,5.9,5.43,1.03,0.96,Subsurface,Clayey,Yes
6.94,0.8,1.03,294,18,210,2.07,1.37,10,14.95,8.18,1.54,0.45,Subsurface,Sandy,Yes
6.85,0.75,0.53,337,12,237,4.65,0.83,14,19.26,4.45,0.81,0.59,Subsurface,Mixed,No
6.92,0.15,0.52,291,31,280,3.28,0.81,12,10.37,9.45,0.82,0.22,Surface,Sandy,No
7.71,0.62,0.56,300,35,205,4.85,2.0,15,8.37,9.9,0.64,0.99,Subsurface,Clayey,Yes
7.89,0.22,0.81,362,11,227,3.32,2.16,10,6.51,5.09,1.3,0.39,Surface,Mixed,Yes
7.11,0.97,0.66,382,16,220,3.52,1.87,6,21.84,3.59,1.59,0.94,Surface,Clayey,Yes
7.86,0.83,1.19,257,39,204,2.27,1.94,19,6.09,7.48,1.55,0.52,Subsurface,Clayey,No
6.98,0.2,0.88,286,26,226,4.57,2.2,14,17.19,6.67,1.61,0.33,Surface,Mixed,Yes
7.21,0.21,0.96,296,34,233,4.39,1.36,19,20.26,9.93,0.75,0.54,Subsurface,Clayey,Yes
6.84,0.64,0.7,349,26,283,2.68,0.84,7,20.61,8.49,1.38,0.46,Surface,Sandy,No
7.46,0.41,0.73,338,18,236,3.64,1.25,6,18.07,8.68,0.64,0.96,Surface,Sandy,Yes
7.97,0.13,0.73,382,36,251,2.7,2.46,7,18.06,7.81,1.95,0.82,Subsurface,Loamy,Yes
7.41,0.59,0.99,335,10,240,3.12,1.4,5,14.48,4.81,0.66,0.37,Surface,Sandy,Yes
7.04,0.45,0.83,274,10,183,4.49,2.35,11,13.33,9.49,1.82,0.63,Surface,Mixed,No
7.47,0.19,0.86,375,17,210,2.95,1.91,9,7.75,5.73,0.56,0.74,Subsurface,Loamy,Yes
6.68,0.82,0.91,365,26,299,4.44,1.98,13,15.71,5.2,1.3,0.66,Subsurface,Clayey,Yes
7.83,0.92,1.04,369,17,275,4.86,0.88,11,6.42,3.55,1.78,0.93,Subsurface,Loamy,No
7.25,0.78,0.56,279,28,277,2.96,1.24,5,14.36,4.43,1.45,0.29,Subsurface,Loamy,No
7.17,0.84,1.04,297,13,291,4.57,1.96,5,19.62,2.02,1.24,0.23,Subsurface,Loamy,Yes
7.38,0.29,0.89,343,27,246,2.56,1.81,6,13.86,7.28,0.69,0.69,Subsurface,Clayey,Yes
7.44,0.34,0.97,304,22,220,1.51,2.23,11,15.17,6.84,1.49,0.8,Subsurface,Sandy,Yes
6.61,0.29,0.73,295,31,205,1.8,0.92,11,21.84,5.22,1.4,0.85,Surface,Loamy,No
7.52,0.79,0.79,280,16,247,4.08,2.0,13,17.93,9.74,1.19,0.37,Subsurface,Sandy,Yes
6.86,0.95,0.66,341,35,245,1.85,0.58,7,7.55,7.54,0.85,0.35,Surface,Clayey,No
7.57,0.75,1.19,323,12,198,4.79,1.1,7,15.86,3.94,0.83,0.87,Subsurface,Mixed,Yes
7.73,0.89,0.85,305,23,266,4.53,1.76,18,12.29,5.03,1.96,0.47,Subsurface,Sandy,Yes
7.71,0.67,1.2,371,18,204,3.3,2.46,12,9.14,6.13,1.95,0.73,Surface,Loamy,Yes
7.33,0.45,0.84,306,12,226,3.54,2.48,10,17.96,6.36,1.91,0.32,Surface,Sandy,Yes
7.28,0.48,0.65,266,16,250,3.93,1.38,7,12.73,4.21,1.27,0.84,Surface,Clayey,No
6.71,0.17,0.86,388,24,187,4.06,2.03,12,20.35,4.0,1.98,0.97,Subsurface,Clayey,Yes
7.66,0.13,0.53,266,13,182,3.22,1.7,18,16.73,4.4,0.95,0.98,Subsurface,Mixed,No
6.91,0.73,1.13,354,14,266,2.6,1.92,7,7.09,9.71,1.14,0.62,Surface,Mixed,Yes
7.25,0.49,1.07,387,37,290,4.69,1.96,10,12.01,4.88,0.76,0.39,Subsurface,Sandy,Yes
6.93,0.6,1.01,383,18,212,1.66,1.59,5,10.4,4.99,1.2,0.31,Subsurface,Loamy,Yes
6.7,0.6,0.93,330,12,291,2.75,2.13,8,8.0,7.76,0.78,0.4,Subsurface,Loamy,Yes
7.44,0.35,0.91,265,25,207,3.83,1.67,10,21.0,3.3,0.6,0.7,Subsurface,Sandy,No
6.58,0.53,1.2,352,25,201,4.62,0.7,9,12.57,7.15,0.51,0.55,Surface,Mixed,No
7.62,0.52,0.69,339,28,278,1.76,2.48,8,17.27,7.33,1.07,0.58,Subsurface,Loamy,Yes
6.98,0.45,1.05,253,34,277,3.81,1.11,14,22.64,2.52,1.85,0.58,Surface,Clayey,No
6.5,0.84,0.91,311,18,209,3.2,2.43,19,15.86,3.52,1.16,0.83,Surface,Clayey,Yes
7.27,0.51,1.18,305,38,226,3.9,1.09,19,10.16,5.73,1.47,0.87,Subsurface,Mixed,Yes
6.57,0.64,1.08,282,29,215,2.61,2.21,5,20.81,8.68,1.73,0.21,Surface,Clayey,Yes
6.91,0.91,1.2,280,10,238,3.99,1.88,8,13.72,7.86,1.33,0.93,Subsurface,Loamy,Yes
7.56,0.88,0.91,384,26,193,2.13,1.21,5,16.28,8.99,1.34,0.51,Subsurface,Mixed,Yes
6.59,0.9,0.64,382,21,252,4.21,2.38,15,23.04,8.81,1.29,0.39,Subsurface,Loamy,Yes
7.76,0.34,0.85,250,18,265,4.12,1.67,14,14.79,6.09,0.69,1.0,Surface,Loamy,No
6.51,0.13,1.0,294,31,271,4.81,2.16,8,11.69,6.98,1.45,0.3,Surface,Mixed,Yes
6.87,0.33,1.04,296,14,284,2.11,2.09,17,19.55,9.37,1.58,0.46,Subsurface,Loamy,Yes
7.61,0.35,0.5,279,38,193,4.03,0.59,7,7.67,7.93,0.5,0.93,Surface,Mixed,No
6.97,0.92,0.85,330,37,258,2.63,1.04,18,23.27,4.86,0.63,0.58,Subsurface,Loamy,Yes
6.65,0.68,0.66,273,24,235,2.49,1.44,11,23.31,4.8,1.31,0.94,Subsurface,Mixed,No
7.04,0.17,1.11,280,35,280,2.91,2.37,15,16.59,4.93,1.76,0.39,Subsurface,Mixed,Yes
6.91,0.22,0.61,277,22,203,2.5,0.62,10,8.09,5.96,1.3,0.53,Subsurface,Clayey,No
7.76,0.24,0.97,381,28,277,2.37,0.87,10,14.04,4.9,1.15,0.24,Subsurface,Clayey,No
6.97,0.67,0.69,288,12,299,4.19,1.75,14,13.47,3.5,1.91,0.56,Surface,Loamy,Yes
7.68,0.76,0.75,332,11,228,3.95,1.81,18,10.97,6.76,0.61,0.2,Subsurface,Mixed,Yes
7.84,0.87,1.16,320,22,222,1.88,0.83,15,8.5,8.95,0.71,0.45,Subsurface,Mixed,No
7.15,0.95,0.67,258,16,288,3.46,2.4,19,10.27,5.94,1.53,0.77,Subsurface,Mixed,No
7.86,0.28,0.57,271,18,287,2.66,0.85,7,16.11,3.75,0.66,0.78,Subsurface,Loamy,No
7.07,0.38,0.55,376,31,182,4.9,0.86,10,18.71,8.5,0.7,0.54,Surface,Sandy,No
7.95,0.32,0.85,251,19,202,2.99,1.77,16,24.59,8.05,1.81,0.21,Surface,Clayey,No
6.63,0.42,0.95,340,10,199,1.64,1.34,7,9.32,7.6,0.82,0.3,Subsurface,Clayey,Yes
7.53,0.92,0.73,265,31,288,2.66,0.55,11,9.08,7.4,1.43,0.39,Subsurface,Sandy,No
7.24,0.62,0.98,254,25,194,2.59,2.34,6,7.34,8.26,1.1,0.21,Surface,Sandy,No
7.08,0.76,0.54,389,20,222,1.52,0.65,18,23.78,8.64,0.71,0.37,Subsurface,Sandy,No
7.45,0.54,1.1,264,33,259,3.21,0.81,13,12.64,9.19,1.08,0.62,Surface,Clayey,No
7.56,0.13,1.07,316,17,250,4.67,2.29,14,23.48,6.88,1.12,0.3,Subsurface,Clayey,Yes
6.51,0.16,1.19,322,39,212,4.31,1.05,19,22.79,5.15,1.44,0.89,Subsurface,Clayey,Yes
6.75,0.58,1.16,341,35,234,3.9,2.14,6,5.88,2.72,0.73,0.25,Surface,Loamy,Yes
7.57,0.75,0.75,312,22,262,2.7,0.84,5,10.6,7.78,0.56,0.82,Subsurface,Mixed,No
7.5,0.29,0.78,349,25,261,2.31,0.6,8,11.05,3.13,1.41,0.56,Subsurface,Clayey,No
7.95,0.75,1.02,274,12,220,2.7,0.97,17,10.55,8.95,0.6,0.69,Surface,Clayey,No
7.64,0.83,0.59,290,22,197,1.93,1.98,12,13.51,5.25,0.73,0.59,Subsurface,Loamy,Yes
7.93,0.47,0.72,277,26,182,1.85,1.83,11,14.99,9.01,1.97,0.54,Surface,Loamy,No
7.55,0.77,0.58,360,30,182,3.51,1.12,10,20.16,6.15,0.53,0.74,Surface,Sandy,Yes
6.95,0.46,0.82,270,15,279,4.35,1.77,18,10.35,5.63,1.46,0.38,Subsurface,Loamy,No
6.66,0.71,0.89,310,19,195,1.85,1.83,17,10.97,4.91,0.71,0.59,Surface,Mixed,Yes
7.67,0.79,0.65,352,18,222,2.67,1.63,14,16.97,2.49,1.73,0.85,Surface,Clayey,Yes
7.47,0.99,0.52,388,27,202,1.93,2.37,16,8.59,2.09,1.37,0.32,Surface,Clayey,Yes
6.57,0.41,1.0,396,39,266,2.59,2.09,11,14.46,6.07,1.21,0.27,Subsurface,Mixed,Yes
7.04,0.47,0.51,324,26,194,4.41,2.13,19,10.02,9.21,1.19,0.68,Surface,Mixed,Yes
7.94,0.25,1.18,250,16,252,1.62,1.35,8,8.96,6.69,1.51,0.97,Surface,Sandy,No
7.25,0.28,0.66,358,11,237,3.77,1.87,12,20.91,8.9,1.76,0.54,Subsurface,Loamy,Yes
7.15,0.72,0.96,326,20,219,1.71,0.87,16,19.14,10.0,0.51,0.85,Surface,Clayey,No
7.19,0.93,0.8,266,27,297,2.99,1.09,8,10.0,3.43,0.53,0.58,Surface,Clayey,No
6.81,0.46,0.54,360,12,217,3.16,1.5,14,13.3,7.28,0.91,0.39,Surface,Clayey,Yes
7.05,0.26,0.83,268,23,296,2.91,2.13,12,8.08,5.34,1.61,0.59,Subsurface,Mixed,No
7.05,0.36,0.86,323,29,261,3.73,1.17,18,6.06,3.67,0.79,0.55,Subsurface,Clayey,Yes
6.58,0.51,1.1,308,22,281,4.91,1.38,15,16.7,3.93,1.11,0.4,Surface,Mixed,Yes
7.65,0.36,1.01,364,32,185,2.44,2.41,18,12.27,3.96,1.26,0.48,Subsurface,Mixed,Yes
7.12,0.31,0.56,287,26,287,3.63,1.07,9,9.15,7.84,1.06,0.51,Subsurface,Loamy,Yes
7.73,0.76,0.65,280,38,280,2.74,1.74,17,7.29,4.84,1.2,0.89,Subsurface,Sandy,Yes
7.78,0.11,0.72,355,31,225,5.0,0.7,18,18.6,4.05,1.7,0.45,Surface,Loamy,No
6.82,0.59,0.58,360,20,185,4.83,1.32,13,10.43,9.09,0.84,0.94,Subsurface,Mixed,Yes
7.49,0.81,0.82,299,16,264,1.83,1.16,11,23.15,2.27,0.99,0.21,Subsurface,Sandy,Yes
7.21,0.34,1.19,375,12,273,4.91,0.53,14,8.86,7.88,1.29,0.3,Surface,Sandy,No
7.82,0.64,0.86,352,12,271,4.08,1.67,17,9.88,9.68,1.8,0.22,Surface,Loamy,Yes
6.82,0.7,1.02,308,11,199,4.97,1.16,19,22.03,7.01,0.81,0.81,Surface,Clayey,Yes
7.52,0.69,0.98,370,30,198,4.2,1.0,14,16.45,6.39,1.29,0.3,Surface,Clayey,Yes
7.41,0.5,1.09,394,25,193,1.95,2.29,10,7.17,2.49,1.81,0.66,Subsurface,Sandy,Yes
6.94,0.41,0.65,344,32,244,4.13,0.96,6,15.99,6.02,0.67,0.82,Surface,Mixed,No
6.7,0.85,1.03,398,20,270,4.04,1.31,10,11.16,4.89,1.58,0.59,Surface,Mixed,Yes
7.48,0.78,1.12,343,37,295,2.08,2.4,16,19.74,8.22,0.84,0.28,Surface,Mixed,Yes
7.61,0.39,0.62,301,23,275,4.14,0.66,5,6.56,8.49,0.76,0.87,Subsurface,Mixed,No
6.97,0.19,0.74,391,12,208,3.86,2.38,6,23.36,3.34,0.85,0.36,Surface,Sandy,Yes
7.47,0.16,1.18,265,16,210,4.98,1.28,18,14.56,6.18,1.25,0.28,Subsurface,Loamy,No
7.09,0.18,1.05,304,17,204,3.67,2.08,9,19.69,8.88,1.41,0.81,Subsurface,Sandy,Yes
7.57,0.62,0.7,386,22,298,2.95,1.21,17,19.09,7.0,0.79,0.22,Surface,Clayey,Yes
6.8,0.15,0.89,385,28,250,4.84,1.33,11,8.57,5.85,0.67,0.69,Surface,Sandy,Yes
7.84,0.4,0.78,358,20,282,3.7,1.38,5,22.6,9.18,1.18,0.54,Subsurface,Loamy,Yes
6.93,0.78,0.84,343,10,225,2.72,2.39,6,9.65,9.73,0.59,0.55,Surface,Clayey,Yes
7.05,0.36,0.75,256,28,231,1.57,1.6,8,8.81,3.88,1.31,0.84,Subsurface,Sandy,No
6.59,0.79,0.7,398,22,195,4.15,0.93,13,15.41,3.46,1.52,0.24,Subsurface,Sandy,No
6.67,0.77,0.97,382,31,287,1.92,1.72,12,24.69,8.92,1.92,0.79,Surface,Clayey,Yes
7.27,0.32,1.04,389,26,298,4.73,2.28,14,11.27,3.94,0.71,0.76,Surface,Loamy,Yes
6.9,0.76,1.11,330,18,190,4.86,0.93,13,24.29,8.78,1.15,0.91,Subsurface,Loamy,No
7.75,0.77,0.61,337,28,197,2.33,1.18,8,13.7,4.41,0.89,0.66,Surface,Sandy,Yes
6.52,0.46,1.08,357,28,287,1.89,1.64,15,21.69,2.15,0.83,0.33,Surface,Mixed,Yes
7.07,0.29,0.68,332,37,235,3.58,2.47,11,15.6,5.38,1.28,0.24,Surface,Mixed,Yes
7.01,0.57,0.8,294,32,285,2.25,1.43,15,9.11,2.32,0.72,0.55,Subsurface,Clayey,Yes
6.53,0.93,1.13,329,32,235,3.4,1.67,7,22.6,3.66,0.52,0.78,Surface,Mixed,Yes
6.69,0.68,0.82,274,38,236,2.95,0.77,16,6.44,5.83,0.74,0.23,Subsurface,Sandy,No
7.12,0.26,0.64,276,15,248,4.27,2.02,12,18.66,2.31,1.0,0.4,Subsurface,Loamy,No
7.24,0.71,0.61,300,16,299,5.0,0.94,16,21.62,2.27,0.52,0.82,Surface,Mixed,No
7.11,0.48,0.83,368,14,245,3.1,1.16,11,21.64,3.24,1.79,0.38,Surface,Sandy,Yes
7.3,0.63,1.03,357,17,253,3.9,1.92,12,18.11,5.7,1.38,0.5,Surface,Clayey,Yes
7.39,0.76,1.2,309,35,269,2.7,1.93,13,10.02,9.79,0.54,0.8,Subsurface,Mixed,Yes
6.51,0.56,1.05,321,23,267,4.52,1.14,10,15.63,2.75,0.84,0.54,Subsurface,Clayey,Yes
7.2,0.83,1.11,329,27,269,1.63,2.2,17,17.59,6.98,1.5,0.82,Subsurface,Mixed,Yes
7.95,0.75,1.02,321,30,195,3.23,2.09,8,22.79,5.98,0.54,0.42,Subsurface,Mixed,Yes
7.28,0.65,1.13,345,36,268,2.12,1.73,16,8.19,2.48,1.07,0.97,Surface,Clayey,Yes
7.52,0.24,0.55,375,34,281,2.12,0.86,7,14.3,2.27,0.64,0.28,Subsurface,Loamy,No
6.97,0.85,1.15,399,29,185,3.37,2.31,7,11.66,3.77,1.09,0.8,Subsurface,Clayey,Yes
7.66,0.94,0.78,345,33,231,2.58,1.55,18,13.55,7.48,1.95,0.26,Surface,Loamy,Yes
7.66,0.22,1.15,388,12,299,3.11,1.25,15,8.66,9.7,1.18,0.88,Subsurface,Sandy,Yes
7.28,0.54,0.55,358,31,234,2.57,2.35,17,9.35,6.45,1.42,0.31,Surface,Mixed,Yes
7.96,0.33,1.0,255,17,255,3.09,2.44,15,20.4,2.37,1.11,0.67,Subsurface,Sandy,No
6.69,0.78,1.01,271,23,252,2.5,1.93,15,14.57,4.06,0.97,0.47,Subsurface,Loamy,No
6.53,0.75,1.2,352,34,228,4.31,2.08,10,15.28,9.54,1.42,0.68,Surface,Mixed,Yes
7.66,0.23,1.04,261,23,285,3.45,0.99,19,22.95,2.1,1.43,0.24,Surface,Loamy,No
7.71,0.89,0.77,276,38,251,2.07,1.02,12,9.8,6.82,1.42,0.91,Subsurface,Loamy,No
6.68,0.26,0.89,378,16,235,1.53,1.64,17,11.59,3.43,0.54,0.77,Subsurface,Mixed,Yes
6.9,0.82,0.76,329,15,274,1.56,2.47,12,11.17,2.53,1.54,0.48,Surface,Mixed,Yes
6.53,0.51,0.64,309,36,220,2.98,1.99,15,18.18,4.04,1.51,0.58,Surface,Sandy,Yes
6.94,0.4,0.67,365,15,275,2.6,1.99,12,16.25,9.5,0.61,0.7,Surface,Sandy,Yes
7.66,0.24,0.66,319,21,250,2.42,1.02,13,14.43,8.09,0.79,0.69,Surface,Sandy,Yes
7.28,0.25,0.88,397,31,275,3.68,1.34,19,18.36,3.37,1.28,0.71,Subsurface,Sandy,Yes
7.02,0.7,1.13,285,24,285,4.35,1.19,5,14.68,2.53,1.04,0.32,Surface,Mixed,Yes
7.06,0.6,1.14,378,35,235,1.72,1.1,11,21.32,5.95,1.36,0.83,Subsurface,Loamy,Yes
6.5,0.21,0.54,301,34,268,1.88,1.96,14,13.2,2.42,1.64,0.57,Surface,Loamy,Yes
6.95,0.2,0.56,379,28,276,2.79,0.7,13,22.81,5.23,1.32,0.84,Surface,Mixed,No
7.47,0.17,0.67,398,13,294,3.05,0.83,19,7.39,8.4,1.19,0.94,Subsurface,Clayey,No
7.96,0.77,0.68,386,12,242,2.88,1.32,17,6.88,6.01,0.9,0.28,Subsurface,Sandy,Yes
7.77,0.74,0.57,360,22,297,3.74,1.11,15,18.11,9.17,1.42,0.48,Subsurface,Sandy,Yes
6.54,0.15,0.77,337,34,207,1.81,2.31,6,12.79,8.33,1.74,0.62,Subsurface,Loamy,Yes
7.85,0.6,0.91,297,25,254,3.23,0.9,8,14.11,6.44,0.89,0.31,Surface,Sandy,No
7.67,0.18,0.9,354,22,210,4.34,1.0,18,18.92,8.32,1.68,0.41,Surface,Clayey,Yes
7.67,0.91,0.88,291,39,234,4.75,0.86,10,9.29,2.76,1.13,0.24,Subsurface,Mixed,No
7.19,0.92,0.74,343,30,231,3.46,2.22,8,5.88,3.61,0.67,0.75,Subsurface,Loamy,Yes
7.1,0.73,0.99,294,39,253,1.98,0.9,13,13.78,7.6,1.87,0.6,Surface,Clayey,No
6.95,0.93,1.08,379,19,245,4.05,1.2,14,22.89,2.05,1.52,0.23,Surface,Mixed,Yes
6.6,0.83,0.74,353,22,225,4.29,1.84,16,14.01,2.04,1.76,0.44,Subsurface,Clayey,Yes
6.84,0.85,0.56,356,17,287,2.19,0.66,16,16.44,5.04,1.48,0.53,Surface,Sandy,No
6.87,0.61,0.71,395,21,183,3.87,2.13,16,9.17,8.94,0.69,0.47,Subsurface,Sandy,Yes
7.23,0.38,0.6,288,17,201,4.76,1.91,5,14.28,9.85,1.31,0.21,Surface,Sandy,Yes
7.62,0.3,0.83,383,18,224,4.02,1.02,13,14.61,7.2,1.45,0.43,Surface,Sandy,Yes
7.21,0.39,0.61,276,19,295,2.95,1.28,14,9.7,9.6,0.89,0.26,Subsurface,Loamy,No
6.59,0.67,0.82,392,16,207,3.05,1.74,5,8.28,8.78,1.45,0.2,Subsurface,Loamy,Yes
7.94,0.26,0.65,268,12,189,1.78,2.39,5,12.01,3.61,1.35,0.48,Surface,Clayey,No
7.91,0.33,1.02,313,14,245,3.34,1.76,9,5.78,5.23,0.53,0.51,Subsurface,Sandy,Yes
7.68,0.52,0.52,300,12,228,4.31,1.01,5,8.33,6.99,1.82,0.93,Subsurface,Loamy,Yes
7.99,0.31,0.89,306,27,274,4.92,1.46,14,19.63,3.21,1.3,0.3,Surface,Loamy,Yes
7.32,0.63,0.62,269,28,285,2.9,1.4,13,17.98,4.5,1.38,0.76,Subsurface,Loamy,No
7.94,0.93,0.5,269,37,266,3.02,1.57,10,11.26,8.05,0.73,0.41,Subsurface,Loamy,No
6.61,0.77,1.11,331,19,259,1.69,1.54,18,16.02,4.76,1.71,0.6,Surface,Clayey,Yes
7.05,0.7,0.97,350,18,252,4.21,1.23,13,21.59,9.41,1.3,0.54,Subsurface,Loamy,Yes
6.84,0.62,0.57,287,34,230,4.01,2.24,9,21.78,5.25,0.63,0.59,Surface,Sandy,Yes
6.79,0.54,0.96,287,33,222,2.91,1.16,10,18.09,3.76,1.55,0.81,Surface,Clayey,Yes
6.71,0.27,0.93,314,16,185,3.98,1.56,6,7.48,3.68,1.23,0.21,Subsurface,Loamy,Yes
7.43,0.91,0.83,325,10,204,3.68,1.02,18,8.26,7.5,1.0,0.46,Surface,Mixed,Yes
7.67,0.32,0.79,382,34,183,4.19,1.37,16,10.83,4.95,1.88,0.47,Surface,Loamy,Yes
7.37,0.18,1.12,372,19,291,2.6,1.86,17,18.41,3.9,1.73,0.28,Subsurface,Sandy,Yes
6.72,0.78,0.67,374,11,255,3.78,2.02,13,10.16,7.55,0.56,0.21,Surface,Clayey,Yes
7.72,0.26,0.78,276,15,203,3.69,2.11,7,14.29,5.37,1.55,0.78,Subsurface,Mixed,No
7.45,0.43,0.73,352,35,235,1.82,1.97,9,21.51,8.77,0.76,0.91,Subsurface,Mixed,Yes
7.08,0.13,1.04,269,30,270,2.48,1.43,12,22.84,6.39,0.53,0.45,Surface,Loamy,No
7.51,0.22,1.14,309,15,291,4.51,0.57,9,21.77,9.78,0.83,0.72,Surface,Mixed,No
6.89,0.26,1.09,332,33,234,2.05,1.55,14,7.33,5.0,0.57,1.0,Surface,Mixed,Yes
7.02,0.15,1.06,255,17,233,2.83,0.61,8,23.22,4.26,1.46,0.33,Surface,Clayey,No
7.88,0.69,1.19,361,35,182,2.29,2.43,8,18.68,7.16,1.64,0.42,Subsurface,Clayey,Yes
6.94,0.85,0.99,388,27,255,1.99,1.26,16,17.38,7.67,0.77,0.85,Surface,Sandy,Yes
7.2,0.44,1.03,363,16,226,1.98,1.51,9,9.95,2.14,0.81,0.2,Subsurface,Clayey,Yes
7.84,0.89,1.19,333,27,295,2.72,0.76,7,23.56,7.36,0.7,0.67,Subsurface,Loamy,No
7.56,0.29,0.5,271,10,209,4.31,2.49,14,5.35,3.45,1.34,0.58,Surface,Sandy,No
6.59,0.39,0.94,333,37,255,4.88,1.48,15,6.64,9.67,1.23,0.78,Surface,Sandy,Yes
6.72,0.24,1.02,296,33,220,3.5,1.1,8,8.07,6.61,0.51,0.62,Surface,Loamy,Yes
6.51,0.66,1.14,351,34,285,3.72,0.89,9,18.88,3.01,1.05,0.61,Surface,Clayey,No
7.45,0.48,1.12,329,23,234,4.23,1.8,8,17.46,2.42,0.63,0.77,Subsurface,Sandy,Yes
7.17,0.65,1.09,274,32,238,3.82,1.37,7,23.89,9.04,1.37,0.64,Surface,Mixed,No
6.7,0.79,1.16,340,29,219,4.47,1.13,16,11.98,8.8,1.21,0.99,Subsurface,Clayey,Yes
7.94,0.59,0.88,316,16,224,4.59,0.52,5,11.95,5.47,1.19,0.76,Surface,Mixed,No
7.29,0.66,0.5,394,29,201,3.7,0.57,6,18.39,2.7,1.6,0.85,Subsurface,Mixed,No
6.86,0.94,0.51,289,16,194,3.37,1.89,15,8.48,5.12,1.19,0.54,Surface,Mixed,Yes
7.25,0.37,0.88,279,13,271,2.87,1.46,13,14.28,8.08,1.23,0.97,Surface,Loamy,No
7.52,0.42,0.8,308,39,196,3.12,2.2,16,5.31,7.29,1.45,0.56,Surface,Sandy,Yes
6.61,0.75,0.82,277,39,238,2.71,2.01,14,16.84,8.92,0.95,0.48,Subsurface,Loamy,No
6.91,0.65,0.78,296,34,287,2.99,1.65,6,20.68,8.01,1.91,0.95,Subsurface,Loamy,Yes
7.71,0.26,1.14,366,14,291,4.65,1.62,6,9.08,4.64,0.92,0.5,Surface,Sandy,Yes
7.19,0.44,0.75,332,32,204,4.9,1.99,9,11.14,4.73,1.87,0.49,Surface,Mixed,Yes
7.32,0.52,1.1,306,36,222,2.77,1.98,14,7.64,7.18,1.72,0.65,Subsurface,Sandy,Yes
7.15,0.48,1.13,378,33,243,2.27,1.17,13,17.31,4.48,1.86,0.88,Surface,Mixed,Yes
6.57,0.26,0.85,278,30,230,1.77,0.71,7,16.28,8.94,0.77,0.46,Subsurface,Mixed,No
6.75,0.93,0.81,313,10,240,4.43,2.04,13,21.53,4.62,0.85,0.86,Subsurface,Loamy,Yes
7.17,0.79,1.03,348,29,224,4.55,0.95,8,24.41,5.91,1.77,0.33,Surface,Sandy,No
6.81,0.53,1.0,286,12,182,3.08,2.08,17,24.67,2.35,1.94,0.34,Subsurface,Mixed,Yes
6.57,0.71,0.73,377,22,215,3.4,1.74,17,7.14,2.94,1.63,0.56,Subsurface,Loamy,Yes
7.77,0.91,0.57,384,16,274,4.09,1.22,16,16.06,3.06,1.46,0.41,Surface,Sandy,Yes
7.97,0.22,0.69,339,15,299,2.82,2.2,7,20.79,4.75,1.71,0.59,Surface,Sandy,Yes
7.69,0.33,0.59,336,15,258,2.21,1.88,9,18.18,2.93,0.56,0.21,Subsurface,Loamy,Yes
7.78,0.59,0.71,313,11,289,1.9,1.59,16,22.94,5.66,1.78,0.42,Subsurface,Clayey,Yes
6.86,0.82,0.68,267,25,243,2.32,1.1,16,13.83,4.15,0.92,0.96,Surface,Sandy,No
7.94,0.13,0.95,278,15,207,3.76,2.47,11,13.54,4.18,0.58,0.9,Surface,Clayey,No
